DeptName, gsize, den, dia, max_indeg, max_outdeg, avg_indeg, avg_outdeg, edge_conn, gcc, lcc, avg_gpa
  HM Act57,  29,  0.03,  4.00,   3,5,  0.00,  0.00,  0.00,  0.59,  0.55
    ICT57-V,  19,  0.25,  4.00,   8,7,  4.00,  4.00,  0.00,  0.64,  0.65
  HM Thai57,  24,  0.07,  3.00,   5,9,  1.00,  1.00,  0.00,  0.71,  0.84
      ICT55,  54,  0.07, 10.00,   8,10,  3.00,  3.00,  0.00,  0.48,  0.53
      Biz55, 143,  0.01,  6.00,   6,14,  1.00,  1.00,  0.00,  0.38,  0.62
      ICT56,  34,  0.13,  8.00,   8,10,  4.00,  4.00,  0.00,  0.55,  0.59
    Nited56, 103,  0.03, 15.00,  10,16,  2.00,  2.00,  0.00,  0.56,  0.59
  ICT57-All,  62,  0.08,  7.00,  16,14,  5.00,  5.00,  0.00,  0.60,  0.62
      Eng55,  21,  0.19,  5.00,  10,6,  3.00,  3.00,  0.00,  0.56,  0.66
       Ac57, 639,  0.00, 13.00,   6,3,  0.00,  0.00,  0.00,  0.50,  0.62
     Niti56,  56,  0.04,  6.00,   6,7,  2.00,  2.00,  0.00,  0.70,  0.69
      ICT57,  47,  0.06,  7.00,   9,12,  2.00,  2.00,  0.00,  0.58,  0.60
       EC55,  68,  0.03,  7.00,   6,10,  2.00,  2.00,  0.00,  0.52,  0.60
     Niti55,  60,  0.05, 10.00,   7,11,  3.00,  3.00,  0.00,  0.45,  0.56
 HM Korea57,  67,  0.02,  7.00,   5,10,  1.00,  1.00,  0.00,  0.33,  0.57
 
