DeptName, gsize, den, dia, max_deg, avg_deg, edge_conn, gcc, lcc, avg_gpa
      Ac57, 639,  0.00,  4.00,  28,  1.00,  0.00,  0.40,  0.53
      ICT55,  54,  0.43,  2.00,  52, 23.00,  0.00,  0.58,  0.79
  ICT57-All,  62,  0.53,  2.00,  71, 32.00, 12.00,  0.67,  0.83
 HM Korea57,  67,  0.09,  6.00,  19,  6.00,  0.00,  0.52,  0.66
      ICT57,  47,  0.53,  3.00,  45, 24.00,  1.00,  0.66,  0.81
     Niti56,  56,  0.25,  3.00,  54, 13.00,  2.00,  0.44,  0.70
       EC55,  68,  0.14,  5.00,  24,  9.00,  1.00,  0.51,  0.58
    ICT57-V,  19,  0.88,  2.00,  17, 15.00,  0.00,  0.99,  0.99
      Eng55,  21,  0.85,  2.00,  19, 16.00,  0.00,  0.94,  0.95
      ICT56,  34,  0.57,  2.00,  33, 18.00,  2.00,  0.69,  0.75
      Biz55, 143,  0.03,  7.00,  34,  3.00,  0.00,  0.35,  0.52
   HM Act57,  29,  0.29,  2.00,  27,  8.00,  0.00,  0.42,  0.84
    Nited56, 103,  0.09,  6.00,  27,  9.00,  0.00,  0.32,  0.34
     Niti55,  60,  0.13,  4.00,  27,  7.00,  1.00,  0.28,  0.37
  HM Thai57,  24,  0.25,  2.00,  17,  5.00,  0.00,  0.72,  0.88
 
