
Indeg
DeptName, Correlation score, p-value (2-tailed)
      Ac57, 0.4073, 0.0005  
      Eng55, 0.5521, 0.0116  
      ICT55, 0.5855, 0.0000  
      ICT56, 0.7549, 0.0000  
  ICT57-All, 0.5453, 0.0000  
     Niti55, 0.4947, 0.0001  
     Niti56, 0.7461, 0.0000  
   HM Act57, 0.4204, 0.0259  
 HM Korea57, 0.4341, 0.0003  
  HM Thai57, 0.7528, 0.0000  
    Nited56, 0.6746, 0.0000  
      Biz55, 0.4182, 0.0000  
       EC55, 0.4644, 0.0001  
 
Outdeg
DeptName, Correlation score, p-value (2-tailed)
      Ac57, 0.0393, 0.7488  
      Eng55, -0.0049, 0.9837  
      ICT55, 0.0292, 0.8355  
      ICT56, 0.2960, 0.0944  
  ICT57-All, -0.0854, 0.5131  
     Niti55, 0.1056, 0.4260  
     Niti56, 0.3371, 0.0118  
   HM Act57, 0.4267, 0.0236  
 HM Korea57, 0.1819, 0.1437  
  HM Thai57, 0.4356, 0.0377  
    Nited56, 0.3349, 0.0006  
      Biz55, 0.2769, 0.0009  
       EC55, 0.1537, 0.2143  
 
Hub
DeptName, Correlation score, p-value (2-tailed)
      Ac57, -0.0529, 0.6659  
      Eng55, -0.0808, 0.7350  
      ICT55, 0.3566, 0.0088  
      ICT56, 0.3974, 0.0220  
  ICT57-All, -0.1599, 0.2184  
     Niti55, 0.1835, 0.1642  
     Niti56, 0.3544, 0.0079  
   HM Act57, 0.4293, 0.0226  
 HM Korea57, 0.1199, 0.3375  
  HM Thai57, 0.4496, 0.0314  
    Nited56, 0.3907, 0.0000  
      Biz55, 0.1648, 0.0500  
       EC55, 0.1919, 0.1197  
 
Authority
DeptName, Correlation score, p-value (2-tailed)
      Ac57, 0.0903, 0.4604  
      Eng55, 0.3795, 0.0988  
      ICT55, 0.6247, 0.0000  
      ICT56, 0.7437, 0.0000  
  ICT57-All, 0.0386, 0.7675  
     Niti55, 0.4761, 0.0001  
     Niti56, 0.7266, 0.0000  
   HM Act57, 0.4338, 0.0211  
 HM Korea57, 0.2484, 0.0443  
  HM Thai57, 0.7520, 0.0000  
    Nited56, 0.5078, 0.0000  
      Biz55, 0.2550, 0.0022  
       EC55, 0.2958, 0.0151  
 
Betweenness
DeptName, Correlation score, p-value (2-tailed)
      Ac57, 0.2857, 0.0173  
      Eng55, 0.3940, 0.0856  
      ICT55, 0.4520, 0.0007  
      ICT56, 0.5765, 0.0004  
  ICT57-All, 0.2751, 0.0319  
     Niti55, 0.4513, 0.0003  
     Niti56, 0.4879, 0.0002  
   HM Act57, 0.2934, 0.1297  
 HM Korea57, 0.3015, 0.0139  
  HM Thai57, 0.3577, 0.0938  
    Nited56, 0.2151, 0.0300  
      Biz55, 0.2294, 0.0060  
       EC55, 0.1979, 0.1085  
 
