
Indeg
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
Niti55_bf.gml, 3.4400( 3.9600), 2.1400( 0.0000), 2.8470( 2.8225) 
 HM Thai57_bf.gml, 3.6300( 3.6300), 1.1700( 0.0000), 2.7690( 2.0183) 
 HM Korea57_bf.gml, 3.8500( 3.8500), 1.9200( 0.0000), 2.9730( 2.5982) 
 ICT57-All_bf.gml, 3.5000( 3.8800), 1.5600( 0.0000), 2.5000( 2.4503) 
 EC55_bf.gml, 4.0000( 4.0000), 2.8100( 0.0000), 3.4730( 2.9513) 
 Eng55_bf.gml, 3.5100( 3.5100), 2.4000( 0.0000), 2.8750( 2.6019) 
 ICT57-V_bf.gml, 3.1500( 3.1500), 1.5600( 0.0000), 2.4080( 2.2058) 
 HM Act57_bf.gml, 3.3800( 3.3800), 1.8300( 0.0000), 2.4880( 1.9759) 
 Biz55_bf.gml, 3.2100( 3.3500), 2.0300( 0.0000), 2.6430( 2.2874) 
 ICT57_bf.gml, 3.8300( 3.8800), 2.0800( 0.0000), 2.9830( 2.4204) 
 Niti56_bf.gml, 3.6300( 4.0000), 2.5700( 0.0000), 3.3000( 2.9450) 
 Ac57_bf.gml, 3.7100( 3.7100), 2.0500( 1.6700), 2.5960( 2.5351) 
 Nited56_bf.gml, 3.1000( 3.8000), 1.7500( 0.0000), 2.5950( 2.3689) 
 ICT56_bf.gml, 2.9600( 4.0000), 2.1000( 0.0000), 2.4730( 2.4238) 
 ICT55_bf.gml, 0.0000( 0.0000), 0.0000( 0.0000), 0.0000( 0.0000) 
 
Outdeg
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
Niti55_bf.gml, 3.3900( 3.9600), 1.8600( 0.0000), 2.8320( 2.8225) 
 HM Thai57_bf.gml, 3.6300( 3.6300), 1.9200( 0.0000), 2.8480( 2.0183) 
 HM Korea57_bf.gml, 3.8100( 3.8500), 2.0800( 0.0000), 2.8650( 2.5982) 
 ICT57-All_bf.gml, 3.1500( 3.8800), 1.5400( 0.0000), 2.1460( 2.4503) 
 EC55_bf.gml, 3.6000( 4.0000), 2.5500( 0.0000), 3.1180( 2.9513) 
 Eng55_bf.gml, 3.2700( 3.5100), 2.2100( 0.0000), 2.7110( 2.6019) 
 ICT57-V_bf.gml, 3.1500( 3.1500), 1.5400( 0.0000), 2.1610( 2.2058) 
 HM Act57_bf.gml, 3.3800( 3.3800), 1.6400( 0.0000), 2.5590( 1.9759) 
 Biz55_bf.gml, 3.0500( 3.3500), 2.0300( 0.0000), 2.4060( 2.2874) 
 ICT57_bf.gml, 3.4600( 3.8800), 1.9500( 0.0000), 2.6060( 2.4204) 
 Niti56_bf.gml, 3.5800( 4.0000), 2.5700( 0.0000), 3.1320( 2.9450) 
 Ac57_bf.gml, 3.2100( 3.7100), 1.9500( 1.6700), 2.4910( 2.5351) 
 Nited56_bf.gml, 3.1000( 3.8000), 1.7300( 0.0000), 2.4270( 2.3689) 
