
Degree
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
ICT55_friend.gml, 0.0000( 0.0000), 0.0000( 0.0000), 0.0000( 0.0000) 
 ICT57_friend.gml, 3.2500( 3.8800), 1.9100( 0.0000), 2.6360( 2.4204) 
 ICT56_friend.gml, 3.3800( 4.0000), 1.6900( 0.0000), 2.5820( 2.4238) 
 ICT57-All_friend.gml, 3.2500( 3.8800), 1.9100( 0.0000), 2.6440( 2.4503) 
 EC55_friend.gml, 3.3700( 4.0000), 2.7300( 0.0000), 3.0300( 2.9513) 
 Niti56_friend.gml, 4.0000( 4.0000), 1.9500( 0.0000), 3.2380( 2.9450) 
 HM Thai57_friend.gml, 3.6300( 3.6300), 1.9200( 0.0000), 2.9390( 2.0183) 
 Niti55_friend.gml, 3.9600( 3.9600), 2.0700( 0.0000), 3.0990( 2.8225) 
 Nited56_friend.gml, 3.4200( 3.8000), 1.8800( 0.0000), 2.5850( 2.3689) 
 HM Korea57_friend.gml, 3.8500( 3.8500), 2.5400( 0.0000), 3.2460( 2.5982) 
 Ac57_friend.gml, 3.0900( 3.7100), 1.9600( 1.6700), 2.3920( 2.5351) 
 ICT57-V_friend.gml, 3.1500( 3.1500), 1.5400( 0.0000), 2.3730( 2.2058) 
 HM Act57_friend.gml, 3.3800( 3.3800), 1.6400( 0.0000), 2.5190( 1.9759) 
 Biz55_friend.gml, 3.0500( 3.3500), 2.0300( 0.0000), 2.5090( 2.2874) 
 Eng55_friend.gml, 3.2700( 3.5100), 2.2100( 0.0000), 2.7390( 2.6019) 
 
Betweenness
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
ICT55_friend.gml, 0.0000( 0.0000), 0.0000( 0.0000), 0.0000( 0.0000) 
 ICT57_friend.gml, 3.2500( 3.8800), 1.9100( 0.0000), 2.6440( 2.4204) 
 ICT56_friend.gml, 3.1300( 4.0000), 1.6900( 0.0000), 2.4780( 2.4238) 
 ICT57-All_friend.gml, 3.2500( 3.8800), 1.9100( 0.0000), 2.6440( 2.4503) 
 EC55_friend.gml, 3.3900( 4.0000), 2.5500( 0.0000), 3.0610( 2.9513) 
 Niti56_friend.gml, 4.0000( 4.0000), 1.9500( 0.0000), 3.0240( 2.9450) 
 HM Thai57_friend.gml, 3.6300( 3.6300), 1.9200( 0.0000), 2.8480( 2.0183) 
 Niti55_friend.gml, 3.6500( 3.9600), 2.0700( 0.0000), 2.9500( 2.8225) 
 Nited56_friend.gml, 3.4200( 3.8000), 1.8300( 0.0000), 2.4230( 2.3689) 
 HM Korea57_friend.gml, 3.8100( 3.8500), 2.0800( 0.0000), 3.0740( 2.5982) 
 Ac57_friend.gml, 3.2500( 3.7100), 2.0600( 1.6700), 2.5700( 2.5351) 
 ICT57-V_friend.gml, 3.1500( 3.1500), 1.5400( 0.0000), 2.3730( 2.2058) 
 HM Act57_friend.gml, 3.3800( 3.3800), 1.6400( 0.0000), 2.4870( 1.9759) 
 Biz55_friend.gml, 2.9900( 3.3500), 2.0800( 0.0000), 2.4860( 2.2874) 
 Eng55_friend.gml, 3.5100( 3.5100), 2.2100( 0.0000), 2.8010( 2.6019) 
 
