
Indeg
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
HM Thai57_study.gml, 3.6300( 3.6300), 1.9200( 0.0000), 2.9430( 2.0183) 
 Eng55_study.gml, 3.5100( 3.5100), 2.5000( 0.0000), 2.9120( 2.6019) 
 Biz55_study.gml, 3.2300( 3.3500), 2.0300( 0.0000), 2.8380( 2.2874) 
 Nited56_study.gml, 3.7800( 3.8000), 2.3400( 0.0000), 3.1320( 2.3689) 
 EC55_study.gml, 4.0000( 4.0000), 2.9600( 0.0000), 3.4570( 2.9513) 
 ICT57-All_study.gml, 3.8800( 3.8800), 1.5400( 0.0000), 2.7500( 2.4503) 
 HM Korea57_study.gml, 3.8100( 3.8500), 2.3800( 0.0000), 3.1150( 2.5982) 
 Niti55_study.gml, 3.8600( 3.9600), 2.1400( 0.0000), 3.2130( 2.8225) 
 ICT56_study.gml, 4.0000( 4.0000), 2.6500( 0.0000), 3.1230( 2.4238) 
 Niti56_study.gml, 4.0000( 4.0000), 2.8100( 0.0000), 3.6750( 2.9450) 
 ICT57-V_study.gml, 3.1500( 3.1500), 1.5400( 0.0000), 2.5400( 2.2058) 
 Ac57_study.gml, 3.7100( 3.7100), 1.9600( 1.6700), 2.7130( 2.5351) 
 HM Act57_study.gml, 3.3800( 3.3800), 0.0000( 0.0000), 2.3990( 1.9759) 
 ICT55_study.gml, 0.0000( 0.0000), 0.0000( 0.0000), 0.0000( 0.0000) 
 ICT57_study.gml, 3.8800( 3.8800), 2.4600( 0.0000), 3.3120( 2.4204) 
 
Outdeg
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
HM Thai57_study.gml, 3.6300( 3.6300), 1.9200( 0.0000), 2.8480( 2.0183) 
 Eng55_study.gml, 3.5100( 3.5100), 2.2100( 0.0000), 2.7290( 2.6019) 
 Biz55_study.gml, 3.3500( 3.3500), 1.9900( 0.0000), 2.7940( 2.2874) 
 Nited56_study.gml, 3.7800( 3.8000), 1.8900( 0.0000), 2.7790( 2.3689) 
 EC55_study.gml, 3.8300( 4.0000), 2.5500( 0.0000), 3.1510( 2.9513) 
 ICT57-All_study.gml, 3.2500( 3.8800), 1.5400( 0.0000), 2.1850( 2.4503) 
 HM Korea57_study.gml, 3.5400( 3.8500), 2.0400( 0.0000), 2.6950( 2.5982) 
 Niti55_study.gml, 3.4900( 3.9600), 2.0700( 0.0000), 2.9070( 2.8225) 
 ICT56_study.gml, 3.3800( 4.0000), 1.8700( 0.0000), 2.6730( 2.4238) 
 Niti56_study.gml, 4.0000( 4.0000), 2.5700( 0.0000), 3.2710( 2.9450) 
 ICT57-V_study.gml, 3.1500( 3.1500), 1.5400( 0.0000), 2.2620( 2.2058) 
 Ac57_study.gml, 2.6300( 3.7100), 1.9500( 1.6700), 2.3090( 2.5351) 
 HM Act57_study.gml, 3.3800( 3.3800), 1.6400( 0.0000), 2.5590( 1.9759) 
 ICT55_study.gml, 0.0000( 0.0000), 0.0000( 0.0000), 0.0000( 0.0000) 
 ICT57_study.gml, 3.8800( 3.8800), 1.9100( 0.0000), 2.8880( 2.4204) 
 
Hub
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
HM Thai57_study.gml, 3.6300( 3.6300), 1.9200( 0.0000), 2.8310( 2.0183) 
 Eng55_study.gml, 3.5100( 3.5100), 2.2100( 0.0000), 2.6730( 2.6019) 
 Biz55_study.gml, 3.1300( 3.3500), 1.8800( 0.0000), 2.4490( 2.2874) 
