
Indeg
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
Niti55_bf.gml,  0.80(  0.45),  0.20(  0.53) 
 HM Thai57_bf.gml,  0.10(  0.42),  0.90(  0.54) 
 HM Korea57_bf.gml,  0.10(  0.09),  0.90(  0.90) 
 ICT57-All_bf.gml,  0.80(  0.74),  0.20(  0.24) 
 EC55_bf.gml,  0.50(  0.41),  0.50(  0.57) 
 Eng55_bf.gml,  0.70(  0.67),  0.30(  0.29) 
 ICT57-V_bf.gml,  0.80(  0.74),  0.20(  0.21) 
 HM Act57_bf.gml,  0.30(  0.34),  0.70(  0.62) 
 Biz55_bf.gml,  0.40(  0.60),  0.60(  0.39) 
 ICT57_bf.gml,  0.60(  0.74),  0.40(  0.23) 
 Niti56_bf.gml,  0.20(  0.55),  0.80(  0.43) 
 Ac57_bf.gml,  0.20(  0.22),  0.80(  0.78) 
 Nited56_bf.gml,  0.80(  0.56),  0.20(  0.43) 
 ICT56_bf.gml,  1.00(  0.82),  0.00(  0.15) 
 ICT55_bf.gml,  0.70(  0.65),  0.30(  0.33) 
 
Outdeg
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
Niti55_bf.gml,  0.80(  0.45),  0.20(  0.53) 
 HM Thai57_bf.gml,  0.20(  0.42),  0.80(  0.54) 
 HM Korea57_bf.gml,  0.00(  0.09),  1.00(  0.90) 
 ICT57-All_bf.gml,  0.80(  0.74),  0.20(  0.24) 
 EC55_bf.gml,  0.50(  0.41),  0.50(  0.57) 
 Eng55_bf.gml,  0.80(  0.67),  0.20(  0.29) 
 ICT57-V_bf.gml,  0.80(  0.74),  0.20(  0.21) 
 HM Act57_bf.gml,  0.30(  0.34),  0.70(  0.62) 
 Biz55_bf.gml,  0.60(  0.60),  0.40(  0.39) 
 ICT57_bf.gml,  0.70(  0.74),  0.30(  0.23) 
 Niti56_bf.gml,  0.50(  0.55),  0.50(  0.43) 
 Ac57_bf.gml,  0.20(  0.22),  0.80(  0.78) 
 Nited56_bf.gml,  0.70(  0.56),  0.30(  0.43) 
 ICT56_bf.gml,  0.90(  0.82),  0.10(  0.15) 
 ICT55_bf.gml,  1.00(  0.65),  0.00(  0.33) 
 
Hub
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
Niti55_bf.gml,  0.80(  0.45),  0.20(  0.53) 
 HM Thai57_bf.gml,  0.10(  0.42),  0.90(  0.54) 
 HM Korea57_bf.gml,  0.00(  0.09),  1.00(  0.90) 
 ICT57-All_bf.gml,  0.70(  0.74),  0.30(  0.24) 
 EC55_bf.gml,  0.50(  0.41),  0.50(  0.57) 
 Eng55_bf.gml,  0.60(  0.67),  0.40(  0.29) 
 ICT57-V_bf.gml,  0.70(  0.74),  0.30(  0.21) 
 HM Act57_bf.gml,  0.30(  0.34),  0.70(  0.62) 
 Biz55_bf.gml,  0.60(  0.60),  0.40(  0.39) 
 ICT57_bf.gml,  1.00(  0.74),  0.00(  0.23) 
 Niti56_bf.gml,  0.20(  0.55),  0.80(  0.43) 
 Ac57_bf.gml,  0.10(  0.22),  0.90(  0.78) 
 Nited56_bf.gml,  0.60(  0.56),  0.40(  0.43) 
 ICT56_bf.gml,  0.90(  0.82),  0.10(  0.15) 
 ICT55_bf.gml,  1.00(  0.65),  0.00(  0.33) 
 
Authority
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
Niti55_bf.gml,  1.00(  0.45),  0.00(  0.53) 
 HM Thai57_bf.gml,  0.10(  0.42),  0.90(  0.54) 
 HM Korea57_bf.gml,  0.00(  0.09),  1.00(  0.90) 
 ICT57-All_bf.gml,  0.80(  0.74),  0.20(  0.24) 
 EC55_bf.gml,  0.80(  0.41),  0.20(  0.57) 
 Eng55_bf.gml,  0.60(  0.67),  0.40(  0.29) 
 ICT57-V_bf.gml,  0.80(  0.74),  0.20(  0.21) 
 HM Act57_bf.gml,  0.30(  0.34),  0.70(  0.62) 
 Biz55_bf.gml,  0.40(  0.60),  0.60(  0.39) 
 ICT57_bf.gml,  1.00(  0.74),  0.00(  0.23) 
 Niti56_bf.gml,  0.30(  0.55),  0.70(  0.43) 
 Ac57_bf.gml,  0.20(  0.22),  0.80(  0.78) 
 Nited56_bf.gml,  0.70(  0.56),  0.30(  0.43) 
 ICT56_bf.gml,  0.80(  0.82),  0.20(  0.15) 
 ICT55_bf.gml,  0.90(  0.65),  0.10(  0.33) 
 
Betweenness
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
Niti55_bf.gml,  0.20(  0.45),  0.80(  0.53) 
 HM Thai57_bf.gml,  0.50(  0.42),  0.50(  0.54) 
 HM Korea57_bf.gml,  0.10(  0.09),  0.90(  0.90) 
 ICT57-All_bf.gml,  0.80(  0.74),  0.20(  0.24) 
 EC55_bf.gml,  0.40(  0.41),  0.60(  0.57) 
 Eng55_bf.gml,  0.80(  0.67),  0.20(  0.29) 
 ICT57-V_bf.gml,  0.70(  0.74),  0.30(  0.21) 
 HM Act57_bf.gml,  0.40(  0.34),  0.60(  0.62) 
 Biz55_bf.gml,  0.50(  0.60),  0.50(  0.39) 
 ICT57_bf.gml,  0.80(  0.74),  0.20(  0.23) 
 Niti56_bf.gml,  0.40(  0.55),  0.60(  0.43) 
 Ac57_bf.gml,  0.30(  0.22),  0.70(  0.78) 
 Nited56_bf.gml,  0.40(  0.56),  0.60(  0.43) 
 ICT56_bf.gml,  1.00(  0.82),  0.00(  0.15) 
 ICT55_bf.gml,  0.80(  0.65),  0.20(  0.33) 
 
