
Degree
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
ICT55_friend.gml,  0.90(  0.65),  0.10(  0.33) 
 ICT57_friend.gml,  0.70(  0.74),  0.30(  0.23) 
 ICT56_friend.gml,  0.80(  0.82),  0.20(  0.15) 
 ICT57-All_friend.gml,  0.80(  0.74),  0.20(  0.24) 
 EC55_friend.gml,  0.20(  0.41),  0.80(  0.57) 
 Niti56_friend.gml,  0.50(  0.55),  0.50(  0.43) 
 HM Thai57_friend.gml,  0.10(  0.42),  0.90(  0.54) 
 Niti55_friend.gml,  0.30(  0.45),  0.70(  0.53) 
 Nited56_friend.gml,  0.40(  0.56),  0.60(  0.43) 
 HM Korea57_friend.gml,  0.10(  0.09),  0.90(  0.90) 
 Ac57_friend.gml,  0.30(  0.22),  0.70(  0.78) 
 ICT57-V_friend.gml,  0.80(  0.74),  0.20(  0.21) 
 HM Act57_friend.gml,  0.30(  0.34),  0.70(  0.62) 
 Biz55_friend.gml,  0.70(  0.60),  0.30(  0.39) 
 Eng55_friend.gml,  0.70(  0.67),  0.30(  0.29) 
 
Betweenness
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
ICT55_friend.gml,  0.90(  0.65),  0.10(  0.33) 
 ICT57_friend.gml,  0.80(  0.74),  0.20(  0.23) 
 ICT56_friend.gml,  1.00(  0.82),  0.00(  0.15) 
 ICT57-All_friend.gml,  0.80(  0.74),  0.20(  0.24) 
 EC55_friend.gml,  0.30(  0.41),  0.70(  0.57) 
 Niti56_friend.gml,  0.60(  0.55),  0.40(  0.43) 
 HM Thai57_friend.gml,  0.20(  0.42),  0.80(  0.54) 
 Niti55_friend.gml,  0.30(  0.45),  0.70(  0.53) 
 Nited56_friend.gml,  0.40(  0.56),  0.60(  0.43) 
 HM Korea57_friend.gml,  0.10(  0.09),  0.90(  0.90) 
 Ac57_friend.gml,  0.20(  0.22),  0.80(  0.78) 
 ICT57-V_friend.gml,  0.80(  0.74),  0.20(  0.21) 
 HM Act57_friend.gml,  0.30(  0.34),  0.70(  0.62) 
 Biz55_friend.gml,  0.60(  0.60),  0.40(  0.39) 
 Eng55_friend.gml,  0.60(  0.67),  0.40(  0.29) 
 
