
Indeg
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
HM Thai57_study.gml,  0.10(  0.43),  0.90(  0.57) 
 Eng55_study.gml,  0.70(  0.70),  0.30(  0.30) 
 Biz55_study.gml,  0.70(  0.61),  0.30(  0.39) 
 Nited56_study.gml,  0.30(  0.57),  0.70(  0.43) 
 EC55_study.gml,  0.40(  0.42),  0.60(  0.58) 
 ICT57-All_study.gml,  0.80(  0.75),  0.20(  0.25) 
 HM Korea57_study.gml,  0.00(  0.09),  1.00(  0.91) 
 Niti55_study.gml,  0.60(  0.44),  0.40(  0.54) 
 ICT56_study.gml,  0.80(  0.85),  0.20(  0.15) 
 Niti56_study.gml,  0.50(  0.56),  0.50(  0.44) 
 Ac57_study.gml,  0.20(  0.22),  0.80(  0.78) 
 HM Act57_study.gml,  0.20(  0.36),  0.80(  0.64) 
 ICT55_study.gml,  0.80(  0.66),  0.20(  0.34) 
 
Outdeg
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
HM Thai57_study.gml,  0.30(  0.43),  0.70(  0.57) 
 Eng55_study.gml,  0.50(  0.70),  0.50(  0.30) 
 Biz55_study.gml,  0.50(  0.61),  0.50(  0.39) 
 Nited56_study.gml,  0.30(  0.57),  0.70(  0.43) 
 EC55_study.gml,  0.20(  0.42),  0.80(  0.58) 
 ICT57-All_study.gml,  0.60(  0.75),  0.40(  0.25) 
 HM Korea57_study.gml,  0.00(  0.09),  1.00(  0.91) 
 Niti55_study.gml,  0.30(  0.44),  0.70(  0.54) 
 ICT56_study.gml,  0.70(  0.85),  0.30(  0.15) 
 Niti56_study.gml,  0.70(  0.56),  0.30(  0.44) 
 Ac57_study.gml,  0.30(  0.22),  0.70(  0.78) 
 HM Act57_study.gml,  0.40(  0.36),  0.60(  0.64) 
 ICT55_study.gml,  0.90(  0.66),  0.10(  0.34) 
 
Hub
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
HM Thai57_study.gml,  0.10(  0.43),  0.90(  0.57) 
 Eng55_study.gml,  0.50(  0.70),  0.50(  0.30) 
 Biz55_study.gml,  0.70(  0.61),  0.30(  0.39) 
 Nited56_study.gml,  0.20(  0.57),  0.80(  0.43) 
 EC55_study.gml,  0.10(  0.42),  0.90(  0.58) 
 ICT57-All_study.gml,  0.70(  0.75),  0.30(  0.25) 
 HM Korea57_study.gml,  0.10(  0.09),  0.90(  0.91) 
 Niti55_study.gml,  0.30(  0.44),  0.70(  0.54) 
 ICT56_study.gml,  0.70(  0.85),  0.30(  0.15) 
 Niti56_study.gml,  0.50(  0.56),  0.50(  0.44) 
 Ac57_study.gml,  0.20(  0.22),  0.80(  0.78) 
 HM Act57_study.gml,  0.40(  0.36),  0.60(  0.64) 
 ICT55_study.gml,  0.80(  0.66),  0.20(  0.34) 
 
Authority
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
HM Thai57_study.gml,  0.10(  0.43),  0.90(  0.57) 
 Eng55_study.gml,  0.60(  0.70),  0.40(  0.30) 
 Biz55_study.gml,  0.80(  0.61),  0.20(  0.39) 
 Nited56_study.gml,  0.20(  0.57),  0.80(  0.43) 
 EC55_study.gml,  0.30(  0.42),  0.70(  0.58) 
 ICT57-All_study.gml,  0.70(  0.75),  0.30(  0.25) 
 HM Korea57_study.gml,  0.10(  0.09),  0.90(  0.91) 
 Niti55_study.gml,  0.50(  0.44),  0.50(  0.54) 
 ICT56_study.gml,  0.80(  0.85),  0.20(  0.15) 
 Niti56_study.gml,  0.50(  0.56),  0.50(  0.44) 
 Ac57_study.gml,  0.20(  0.22),  0.80(  0.78) 
 HM Act57_study.gml,  0.40(  0.36),  0.60(  0.64) 
 ICT55_study.gml,  0.70(  0.66),  0.30(  0.34) 
 
Betweenness
Gender of top10: MaleTopK(MaleAll), FemaleTopK(FemaleAll)
HM Thai57_study.gml,  0.30(  0.43),  0.70(  0.57) 
 Eng55_study.gml,  0.70(  0.70),  0.30(  0.30) 
 Biz55_study.gml,  0.70(  0.61),  0.30(  0.39) 
 Nited56_study.gml,  0.50(  0.57),  0.50(  0.43) 
 EC55_study.gml,  0.40(  0.42),  0.60(  0.58) 
 ICT57-All_study.gml,  0.50(  0.75),  0.50(  0.25) 
 HM Korea57_study.gml,  0.10(  0.09),  0.90(  0.91) 
 Niti55_study.gml,  0.50(  0.44),  0.50(  0.54) 
 ICT56_study.gml,  0.80(  0.85),  0.20(  0.15) 
 Niti56_study.gml,  0.60(  0.56),  0.40(  0.44) 
 Ac57_study.gml,  0.20(  0.22),  0.80(  0.78) 
 HM Act57_study.gml,  0.30(  0.36),  0.70(  0.64) 
 ICT55_study.gml,  0.70(  0.66),  0.30(  0.34) 
 
