DeptName, gsize, den, dia, max_indeg, max_outdeg, avg_indeg, avg_outdeg, edge_conn, gcc, lcc, avg_gpa
 Ac57-1sec,  70,  0.03, 13.00,   6,3,  1.00,  1.00,  0.00,  0.49,  0.62
      Biz55, 143,  0.01,  6.00,   6,14,  1.00,  1.00,  0.00,  0.38,  0.62
       EC55,  68,  0.03,  7.00,   6,10,  2.00,  2.00,  0.00,  0.52,  0.60
      Eng55,  21,  0.19,  5.00,  10,6,  3.00,  3.00,  0.00,  0.56,  0.66
   HM Act57,  29,  0.03,  4.00,   3,5,  0.00,  0.00,  0.00,  0.59,  0.55
 HM Korea57,  67,  0.02,  7.00,   5,10,  1.00,  1.00,  0.00,  0.33,  0.57
  HM Thai57,  24,  0.07,  3.00,   5,9,  1.00,  1.00,  0.00,  0.71,  0.84
      ICT55,  54,  0.07, 10.00,   8,10,  3.00,  3.00,  0.00,  0.48,  0.53
      ICT56,  34,  0.13,  8.00,   8,10,  4.00,  4.00,  0.00,  0.55,  0.59
  ICT57-All,  62,  0.08,  7.00,  16,14,  5.00,  5.00,  0.00,  0.60,  0.62
    Nited56, 103,  0.03, 15.00,  10,16,  2.00,  2.00,  0.00,  0.56,  0.59
     Niti55,  60,  0.05, 10.00,   7,11,  3.00,  3.00,  0.00,  0.45,  0.56
     Niti56,  56,  0.04,  6.00,   6,7,  2.00,  2.00,  0.00,  0.70,  0.69
 
