DeptName, gsize, den, dia, max_indeg, max_outdeg, avg_indeg, avg_outdeg, edge_conn, gcc, lcc, avg_gpa
 Ac57-1sec,  52,  0.05, 12.00,   6,3,  2.00,  2.00,  0.00,  0.52,  0.66
      Biz55,  45,  0.05,  6.00,   6,7,  2.00,  2.00,  0.00,  0.48,  0.62
       EC55,  39,  0.07,  7.00,   6,5,  2.00,  2.00,  0.00,  0.63,  0.71
      Eng55,  17,  0.28,  5.00,  10,6,  4.00,  4.00,  1.00,  0.58,  0.66
   HM Act57,   7,  0.31,  3.00,   3,3,  1.00,  1.00,  0.00,  0.75,  0.70
 HM Korea57,  27,  0.07,  7.00,   5,4,  1.00,  1.00,  0.00,  0.40,  0.51
  HM Thai57,   9,  0.40,  3.00,   4,7,  3.00,  3.00,  0.00,  0.77,  0.88
      ICT55,  50,  0.08, 10.00,   8,10,  4.00,  4.00,  0.00,  0.47,  0.54
      ICT56,  30,  0.16,  8.00,   8,9,  4.00,  4.00,  1.00,  0.56,  0.59
      ICT57,  35,  0.10,  7.00,   9,11,  3.00,  3.00,  0.00,  0.62,  0.68
  ICT57-All,  57,  0.10,  7.00,  16,14,  5.00,  5.00,  0.00,  0.62,  0.68
    ICT57-V,  18,  0.27,  4.00,   8,7,  4.00,  4.00,  0.00,  0.66,  0.66
    Nited56,  61,  0.07, 14.00,  10,12,  3.00,  3.00,  0.00,  0.65,  0.67
     Niti55,  37,  0.10, 10.00,   6,8,  3.00,  3.00,  0.00,  0.50,  0.58
     Niti56,  29,  0.11,  5.00,   6,6,  3.00,  3.00,  0.00,  0.72,  0.71
 
