DeptName, gsize, den, dia, max_deg, avg_deg, edge_conn, gcc, lcc, avg_gpa
 Ac57-1sec,  52,  0.24,  4.00,  25, 12.00,  5.00,  0.44,  0.56
      Biz55,  45,  0.14,  7.00,  19,  6.00,  0.00,  0.47,  0.58
       EC55,  39,  0.24,  4.00,  17,  9.00,  2.00,  0.68,  0.69
      Eng55,  17,  0.99,  2.00,  16, 15.00, 15.00,  0.98,  0.99
   HM Act57,   7,  1.00,  2.00,   6,  6.00,  5.00,  0.95,  0.95
 HM Korea57,  27,  0.26,  5.00,  14,  6.00,  2.00,  0.66,  0.68
  HM Thai57,   9,  1.00,  1.00,   8,  8.00,  8.00,  1.00,  1.00
      ICT55,  50,  0.48,  2.00,  49, 23.00, 12.00,  0.60,  0.78
      ICT56,  30,  0.66,  2.00,  29, 19.00, 10.00,  0.73,  0.77
      ICT57,  35,  0.70,  2.00,  34, 23.00, 13.00,  0.77,  0.83
  ICT57-All,  57,  0.56,  2.00,  62, 31.00, 12.00,  0.71,  0.84
    ICT57-V,  18,  0.99,  2.00,  17, 16.00, 16.00,  0.99,  0.99
    Nited56,  62,  0.16,  5.00,  22, 10.00,  0.00,  0.42,  0.42
     Niti55,  37,  0.21,  4.00,  19,  7.00,  2.00,  0.37,  0.44
     Niti56,  29,  0.52,  2.00,  28, 14.00,  3.00,  0.66,  0.75
 
