DeptName, gsize, den, dia, max_indeg, max_outdeg, avg_indeg, avg_outdeg, edge_conn, gcc, lcc, avg_gpa
 Ac57-1sec,  50,  0.08,  9.00,  14,10,  4.00,  4.00,  0.00,  0.43,  0.59
      Biz55,  44,  0.02,  5.00,   6,5,  0.00,  0.00,  0.00,  0.13,  0.27
       EC55,  39,  0.09,  5.00,  10,9,  3.00,  3.00,  0.00,  0.66,  0.63
      Eng55,  17,  0.28,  5.00,  12,10,  4.00,  4.00,  0.00,  0.57,  0.63
   HM Act57,   7,  0.31,  2.00,   6,3,  1.00,  1.00,  0.00,  0.63,  0.81
 HM Korea57,  27,  0.13,  6.00,   9,8,  3.00,  3.00,  0.00,  0.65,  0.68
  HM Thai57,   9,  0.44,  4.00,   7,7,  3.00,  3.00,  0.00,  0.64,  0.76
      ICT55,  50,  0.05,  7.00,  14,6,  2.00,  2.00,  0.00,  0.32,  0.46
      ICT56,  30,  0.13,  7.00,  18,10,  3.00,  3.00,  0.00,  0.47,  0.63
      ICT57,  35,  0.06,  6.00,  23,11,  2.00,  2.00,  0.00,  0.29,  0.70
  ICT57-All,  57,  0.07, 10.00,  26,22,  4.00,  4.00,  0.00,  0.39,  0.65
    ICT57-V,  18,  0.24,  7.00,  11,10,  4.00,  4.00,  0.00,  0.57,  0.63
    Nited56,  62,  0.04, 10.00,   9,10,  2.00,  2.00,  0.00,  0.42,  0.44
     Niti55,  37,  0.05,  9.00,   9,8,  1.00,  1.00,  0.00,  0.25,  0.29
     Niti56,  29,  0.12,  7.00,   9,8,  3.00,  3.00,  0.00,  0.47,  0.62
 
