Niti56 (role, absolute difference, p-value)
Ac57 (role, absolute difference, p-value)
Biz55 (role, absolute difference, p-value)
EC55 (role, absolute difference, p-value)
Eng55 (role, absolute difference, p-value)
HM Act57 (role, absolute difference, p-value)
HM Korea57 (role, absolute difference, p-value)
HM Thai57 (role, absolute difference, p-value)
ICT55 (role, absolute difference, p-value)
ICT56 (role, absolute difference, p-value)
ICT57-All (role, absolute difference, p-value)
Nited56 (role, absolute difference, p-value)
Niti55 (role, absolute difference, p-value)
Niti56 (role, absolute difference, p-value)
Ac57 (role, absolute difference, p-value)
Biz55 (role, absolute difference, p-value)
EC55 (role, absolute difference, p-value)
Eng55 (role, absolute difference, p-value)
HM Act57 (role, absolute difference, p-value)
HM Korea57 (role, absolute difference, p-value)
HM Thai57 (role, absolute difference, p-value)
ICT55 (role, absolute difference, p-value)
ICT56 (role, absolute difference, p-value)
ICT57-All (role, absolute difference, p-value)
Nited56 (role, absolute difference, p-value)
Niti55 (role, absolute difference, p-value)
Niti56 (role, absolute difference, p-value)
Ac57 (role, absolute difference, p-value)
Biz55 (role, absolute difference, p-value)
EC55 (role, absolute difference, p-value)
Eng55 (role, absolute difference, p-value)
HM Act57 (role, absolute difference, p-value)
HM Korea57 (role, absolute difference, p-value)
HM Thai57 (role, absolute difference, p-value)
ICT55 (role, absolute difference, p-value)
ICT56 (role, absolute difference, p-value)
ICT57-All (role, absolute difference, p-value)
Nited56 (role, absolute difference, p-value)
Niti55 (role, absolute difference, p-value)
