bf (Name, t-stat, one-tailed pvalue)
         Niti56, 0.7999, 0.2129
           Ac57, 0.6926, 0.2449
          Biz55, 1.3817, 0.0846
           EC55, 0.4018, 0.3443
          Eng55, 0.2094, 0.4176
       HM Act57, 2.1931, 0.0176
     HM Korea57, 1.4405, 0.0762
      HM Thai57, 1.7374, 0.0457
          ICT55, 0.0398, 0.4842
          ICT56, 0.1512, 0.4401
      ICT57-All, 0.1217, 0.4517
        Nited56, 0.2459, 0.4030
         Niti55, 0.0195, 0.4922

friend (Name, t-stat, one-tailed pvalue)
         Niti56, 0.0000, 0.5000
           Ac57, -0.0451, 0.4821
          Biz55, 1.0918, 0.1383
           EC55, 0.0000, 0.5000
          Eng55, 0.0000, 0.5000
       HM Act57, 0.0000, 0.5000
     HM Korea57, 1.2629, 0.1046
      HM Thai57, 0.9451, 0.1752
          ICT55, 0.0000, 0.5000
          ICT56, 0.0000, 0.5000
      ICT57-All, -0.0000, 0.5000
        Nited56, 0.1289, 0.4488
         Niti55, 0.0000, 0.5000

study (Name, t-stat, one-tailed pvalue)
         Niti56, 2.0615, 0.0214
           Ac57, 0.6926, 0.2449
          Biz55, 3.2572, 0.0009
           EC55, 0.4874, 0.3134
          Eng55, 0.6557, 0.2582
       HM Act57, 3.0177, 0.0037
     HM Korea57, 1.9973, 0.0241
      HM Thai57, 2.8371, 0.0039
          ICT55, 0.0100, 0.4960
          ICT56, 0.1512, 0.4401
      ICT57-All, 0.4697, 0.3197
        Nited56, 0.9379, 0.1749
         Niti55, 0.2654, 0.3956

