fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
Ac57,0.22808302808302805, 0.23593679138322, 0.24109730848861283, 0.6845746845746845, 0.6163180272108844, 0.6222222222222222, 0.50800637633970969, 0.47172047430083136, 0.43633658942276948
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
ICT55,0.17261904761904762, 0.2138888888888889, 0.19527777777777777, 0.7875, 0.7541666666666668, 0.6229166666666667, 0.38612386621315192, 0.39715443121693111, 0.41642959689487491
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
ICT57-All,0.5144230769230769, 0.017857142857142856, 0.3426995798319328, 0.5682692307692307, 0.5, 0.5919117647058824, 0.65306449502878072, 0.16048817254174402, 0.45933076355542246
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
Niti55,0.16666666666666666, 0.19999999999999998, 0.23086419753086418, 0.6666666666666666, 0.6533333333333333, 0.5333333333333333, 0.50666666666666671, 0.57199206349206344, 0.4570162604884826
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
Niti56,0.23703703703703702, 0.26808994708994704, 0.2371979121979122, 0.5955026455026455, 0.4685555555555556, 0.49449449449449445, 0.41078089569160997, 0.41126652742466241, 0.3896011287777163
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
HM Korea57,0.3540584415584416, 0.2540246212121212, 0.24759615384615385, 0.9545454545454546, 0.9545454545454546, 0.903846153846154, 0.44916357452071731, 0.46076013107263103, 0.44529545974858481
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
Nited56,0.19444444444444445, 0.19249999999999998, 0.1789983579638752, 0.5266666666666666, 0.4932142857142857, 0.4859113300492611, 0.47350088183421518, 0.35455179988662133, 0.3742888680376365
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim
EC55,0.23015873015873015, 0.3126984126984127, 0.30252976190476194, 0.746031746031746, 0.7142857142857143, 0.5142195767195766, 0.40262660619803475, 0.42346088435374146, 0.4528371244331067
