fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
Ac57,0.27777777777777773, 0.4166666666666667, 0.21980676328502416, 0.8333333333333334, 0.8333333333333334, 0.7355072463768115, 0.42314814814814811, 0.50798611111111114, 0.44703099838969385, 0.70025527336807369, 0.74885938106551964, 0.72010116407609337
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
ICT55,0.3333333333333333, 0.4375, 0.19575471698113206, 0.5, 0.625, 0.5801886792452831, 0.37609427609427609, 0.47849927849927842, 0.35871901290533431, 0.69255811304647952, 0.74549883169843978, 0.65826894737066977
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
ICT56,0.05555555555555555, 0.1875, 0.1691919191919192, 0.5, 0.625, 0.6742424242424242, 0.23086419753086418, 0.37245370370370373, 0.35458581121459914, 0.64467261949958754, 0.70799541243891051, 0.62920670708836679
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
ICT57-All,0.25, 0.25, 0.23975409836065575, 0.6666666666666666, 0.5, 0.6270491803278688, 0.40902777777777777, 0.34600694444444446, 0.4088751981170019, 0.59043638971329271, 0.62427118071662568, 0.64295123604154114
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
Niti55,0.2222222222222222, 0.375, 0.26785714285714285, 1.0, 1.0, 0.5535714285714286, 0.28346560846560842, 0.41572420634920637, 0.37864819538926681, 0.72854175303067903, 0.74866508025622036, 0.69030320455314464
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
Niti56,0.16666666666666666, 0.375, 0.25, 0.4444444444444444, 0.5416666666666666, 0.5192307692307692, 0.29788359788359786, 0.44216269841269845, 0.35839207089207131, 0.71728301116382032, 0.75890019162697497, 0.65655324484963418
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
HM Korea57,0.05555555555555555, 0.22916666666666666, 0.20454545454545456, 1.0, 1.0, 0.9090909090909091, 0.31206108706108704, 0.43378126503126507, 0.39410132165813994, 0.67061890692945936, 0.72705146960436551, 0.65313086595374326
fname, entry_degree_within_sim, entry_degree_btw_sim, entry_degree_grpnongrp_sim, gender_within_sim, gender_btw_sim,  gender_grpnongrp_sim,total_income_within_sim, total_income_btw_sim, total_income_grpnongrp_sim, gpa_within_sim, gpa_btw_sim, gpa_grpnongrp_sim, 
