ID, AllowPush, AdOptedIn, NumCampaignMatch, Carrier, AppVersion, AllowiBeacon, AllowGeo, AllowFeaturePush, ScreenHeight, AllowBT, HaveUniqueGlobalID, NumCrash, DailyUsage, "continent", LastUpdateDays, DeviceModel, BlockPushTF, BlockPushSameday, BlockPushAfter, OS, OSVersion, RevokePushTF, RevokePushBefore, RevokePushSameday, RevokePushAfter, SignIn, UninstalledTF, UninstalledSameday, UninstalledAfter, ScreenWidth, EmailExist, EmailAddress, InstallDays, PushCount, Timezone, UserType, Questions, CorrectQuestion
IXDREB9W9X9GFFFL, 0, 0, 0, AT&T, 1071256, 1, 0, 0, 568, 0, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 841, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, -1, 0, -5, Free, 10, 0
EWWLQT1B7WPJXJKF, 0, 0, 0, vodafone UK, 1071256, 1, 0, 0, 736, 0, 1, 0, 1, EU, 0, iPhone 6 Plus, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 414, 1, 1, -1, 0, 0, Free, 10, 60
KWE01BIFHZH0M8DY, 0, 0, 0, Other, 1071256, 1, 0, 0, 568, 0, 1, 0, 1, NA, 1, Unknown iPod7, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 0, 0, 8, Free, 10, 0
KM6N7YC62RNZJP0P, 0, 0, 0, T-Mobile, 1071256, 1, 1, 1, 736, 0, 1, 0, 1, NA, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 414, 1, 0, 0, 0, -8, Free, 40, 20
8SXQH454IUTQS3OG, 1, 0, 1, Claro Honduras, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 0, 0, 1, -6, Free, 10, 0
9M8ZD5G5JH9CQFR, 1, 0, 1, Verizon, 1071256, 1, 1, 1, 736, 0, 1, 0, 1, NA, 0, iPhone 6 Plus, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 414, 1, 1, -1, 1, -5, Free, 10, 60
9YMF1DQUXIWIMLYW, 0, 0, 0, AT&T, 1071256, 1, 0, 0, 568, 0, 1, 0, 1, NA, -1, Unknown iPhone8, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, -1, 0, -5, Free, 10, 0
E98U4CSGQQAGFXNQ, 1, 0, 1, T-Mobile, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 0, 0, 1, -8, Free, 80, 41
6EXH5RQGO3D1NYVF, 0, 0, 0, Vodafone India, 1071256, 1, 0, 0, 480, 0, 1, 0, 1, AS, 0, iPhone 4, 0, 0, 0, ios, 712, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 0, 0, 5, Free, 10, 0
CLJUJGQ9B4SBMPI, 1, 0, 1, AirTel, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, AS, 0, iPhone 5, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, -1, 1, 5, Free, 10, 0
6KDXGIYN9K3X2BET, 1, 0, 1, non-ascii1, 1071256, 1, 1, 1, 736, 1, 1, 0, 1, AS, 2, iPhone 6 Plus, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 414, 1, 1, 2, 1, 8, Free, 10, 0
50JLDEN7LEV4CBBJ, 1, 0, 1, Verizon, 1071256, 1, 1, 1, 667, None, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 0, 1, -5, Free, 30, 53
FF7PL845F9P32P3R, 0, 0, 0, o2-de, 1071256, 1, 0, 0, 667, 0, 1, 0, 1, EU, 0, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 0, 0, 1, Free, 10, 0
75MH6A86C3UEE4R7, 1, 0, 1, du, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, AS, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 0, 1, 4, Free, 10, 0
D2JPTTA6Z9RE6VF, 0, 0, 0, Rogers, 1071256, 1, 0, 0, 667, 0, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, -1, 0, -5, Free, 30, 0
8ZOM5XU73IF0AEQN, 0, 0, 0, Free, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, EU, 0, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 0, 0, 1, Free, 50, 60
IWNI1GONZ506GEDM, 1, 0, 1, AirTel, 1071256, 1, 1, 1, 667, 0, 1, 0, 1, AS, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, -1, 1, 5, Free, 10, 40
8JS2SAFAK3LS688J, 0, 0, 0, T-Mobile, 1071256, 1, 0, 0, 568, 0, 1, 0, 1, NA, 0, iPhone 5s, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 0, 0, -6, Free, 100, 46
IQHFQWQGIVQKN8OJ, 0, 0, 0, AT&T, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 4, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 4, 0, -6, Free, 30, 20
B4ZFFLFQCUKE20RE, 1, 0, 1, voda AU, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, OC, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, -1, 1, 11, Free, 55, 9
K3BCO8MUYKGWJ2L0, 0, 0, 0, AT&T, 1071256, 1, 0, 0, 667, 0, 1, 0, 1, NA, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 0, 0, 0, -6, Free, 10, 0
LG3WC0GRVCIH3C1C, 0, 0, 0, Verizon, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 0, 0, -5, Free, 20, 0
54WKGGCLTFDW2D2Y, 0, 0, 0, Singtel, 1071256, 1, 0, 0, 736, 0, 1, 0, 1, AS, 0, iPhone 6 Plus, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 414, 1, 1, -1, 0, 8, Free, 10, 0
F2S9TMZMJBE7VWWO, 1, 0, 1, non-ascii2, 1071256, 1, 1, 1, 667, 0, 1, 0, 1, AS, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, -1, 1, 8, Free, 10, 10
5OS3MGV74Q3RT8R1, 1, 0, 1, Other, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, AF, 1, Unknown iPad4, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 1, 1, 2, Free, 100, 59
1VXTKAZ6BK35VQL5, 0, 0, 0, Verizon, 1071256, 1, 0, 0, 568, 0, 1, 0, 1, NA, 0, iPhone 5c, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, -1, 0, -5, Free, 10, 40
G21A7AO0SSM16ONM, 0, 0, 0, Free, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, EU, 1, iPhone 5, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 1, 0, 1, Free, 50, 66
RL61DRUO4X8SCY, 1, 0, 1, fido, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, -1, 1, -7, Free, 10, 0
F2LP6PD0P7WFTNDV, 0, 0, 0, Verizon, 1071256, 1, 0, 0, 667, 0, 1, 0, 1, NA, 5, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 0, -1, 0, -5, Free, 40, 23
BUTA9XYHMQVR8QWU, 1, 0, 1, T-Mobile, 1071256, 1, 1, 1, 736, None, 1, 0, 1, NA, 5, iPhone 6 Plus, 0, 0, 0, ios, 902, 0, 0, 0, 0, 1, 0, 0, 0, 414, 1, 1, 4, 1, -5, Free, 60, 60
48Q6VUPM6JG93DL2, 1, 0, 1, Other, 1071256, 1, 1, 1, 480, 1, 1, 0, 1, NA, 5, iPad mini 2G, 0, 0, 0, ios, 830, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 0, 1, 8, Free, 60, 57
