ID, AllowPush, AdOptedIn, NumCampaignMatch, Carrier, AppVersion, AllowiBeacon, AllowGeo, AllowFeaturePush, ScreenHeight, AllowBT, HaveUniqueGlobalID, NumCrash, DailyUsage, "continent", LastUpdateDays, DeviceModel, BlockPushTF, BlockPushSameday, BlockPushAfter, OS, OSVersion, RevokePushTF, RevokePushBefore, RevokePushSameday, RevokePushAfter, SignIn, UninstalledTF, UninstalledSameday, UninstalledAfter, ScreenWidth, EmailExist, EmailAddress, InstallDays, PushCount, Timezone, UserType, Questions, CorrectQuestion
4XFIEJNVE2FBS6EB, 0, 0, 0, non-ascii1, 1071256, 1, 1, 1, 667, None, 1, 0, 1, AS, 0, iPhone 6 Plus, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 13, 0, 9, Paid, 186, 66
L9GOSFKKX0ALDWKE, 0, 0, 0, SFR, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, EU, 0, iPhone 6, 0, 0, 0, ios, 920, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 0, 12, 0, 1, Paid, 271, 35
6JNHMJOGO5WHSZ5F, 1, 0, 0, TELUS, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 5, 0, -8, Paid, 665, 53
3U8ZK8GE94SGM9SX, 1, 0, 2, Verizon, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, NA, 0, Unknown iPhone8, 1, 0, 23, ios, 910, 0, 0, 0, 0, 1, 1, 0, 23, 375, 1, 1, 14, 2, -5, Paid, 210, 36
7GC7XEO3H5LN3CUE, 1, 0, 1, voda AU, 1071256, 1, 1, 1, 736, None, 1, 0, 1, OC, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 414, 1, 1, 19, 1, 11, Paid, 180, 49
H2X5G56U6JJZEJIN, 1, 0, 0, Other, 1071256, 1, 1, 1, 480, 1, 1, 0, 1, NA, 0, iPad Air, 0, 0, 0, ios, 704, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 20, 0, -5, Paid, 801, 69
B0593A6GZ08URWLY, 0, 0, 0, o2-de, 1071256, 1, 0, 1, 736, 0, 1, 0, 1, EU, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 414, 1, 0, 14, 0, 1, Paid, 240, 48
20ZCGCFIVAE9E4S3, 0, 0, 0, Verizon, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, NA, 0, iPhone 5s, 0, 0, 0, ios, 902, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 21, 0, -5, Paid, 388, 64
KZ36954ASZVEPU35, 1, 0, 0, Carrier, 1071256, 1, 1, 1, 667, None, 1, 0, 1, AS, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 21, 0, 5, Paid, 2057, 66
FF4EIMBWIZLH5Y1S, 0, 0, 0, Other, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, EU, 0, iPad Air, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 28, 0, 1, Paid, 141, 47
Y0VAOVOEYC8J1L7, 1, 0, 0, Other, 1071256, 1, 1, 1, 480, 1, 1, 0, 1, NA, 0, iPad 4, 0, 0, 0, ios, 712, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 28, 0, -6, Paid, 1563, 59
2650ZR5NXJQ44T7K, 1, 0, 0, Other, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, NA, 0, iPad mini 1G, 0, 0, 0, ios, 900, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 24, 0, -6, Paid, 1563, 59
M0E6HEOB0B30WHP, 1, 0, 0, Emtel, 1071256, 1, 1, 1, 667, None, 1, 0, 1, AF, -1, iPhone 6, 0, 0, 0, ios, 902, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 3, 0, 4, Paid, 60, 72
